[1]	train's auc: 0.619291	train's online_auc: 0.611129	valid's auc: 0.619593	valid's online_auc: 0.612418
[774]	train's auc: 0.776461	train's online_auc: 0.782108	valid's auc: 0.736056	valid's online_auc: 0.731498
[775]	train's auc: 0.776486	train's online_auc: 0.782147	valid's auc: 0.736069	valid's online_auc: 0.731506
[776]	train's auc: 0.776517	train's online_auc: 0.782211	valid's auc: 0.736069	valid's online_auc: 0.731496
[777]	train's auc: 0.776542	train's online_auc: 0.782227	valid's auc: 0.736073	valid's online_auc: 0.731515
[778]	train's auc: 0.776577	train's online_auc: 0.78226	valid's auc: 0.736079	valid's online_auc: 0.73152
[779]	train's auc: 0.776606	train's online_auc: 0.782282	valid's auc: 0.736088	valid's online_auc: 0.73152
[780]	train's auc: 0.77662	train's online_auc: 0.782296	valid's auc: 0.736089	valid's online_auc: 0.731519
[781]	train's auc: 0.776677	train's online_auc: 0.782358	valid's auc: 0.736088	valid's online_auc: 0.731506
[782]	train's auc: 0.776703	train's online_auc: 0.782391	valid's auc: 0.736094	valid's online_auc: 0.731495
[783]	train's auc: 0.776743	train's online_auc: 0.782492	valid's auc: 0.736104	valid's online_auc: 0.731526
[784]	train's auc: 0.776791	train's online_auc: 0.782561	valid's auc: 0.736106	valid's online_auc: 0.731522
[785]	train's auc: 0.776816	train's online_auc: 0.782585	valid's auc: 0.736104	valid's online_auc: 0.731523
[786]	train's auc: 0.776879	train's online_auc: 0.782647	valid's auc: 0.736104	valid's online_auc: 0.731493
[787]	train's auc: 0.776909	train's online_auc: 0.782676	valid's auc: 0.736107	valid's online_auc: 0.731483
[788]	train's auc: 0.776943	train's online_auc: 0.782718	valid's auc: 0.736106	valid's online_auc: 0.731476
[789]	train's auc: 0.776969	train's online_auc: 0.782752	valid's auc: 0.736135	valid's online_auc: 0.731508
[790]	train's auc: 0.777001	train's online_auc: 0.782797	valid's auc: 0.736129	valid's online_auc: 0.731494
[791]	train's auc: 0.777049	train's online_auc: 0.782989	valid's auc: 0.736123	valid's online_auc: 0.731468
[792]	train's auc: 0.777087	train's online_auc: 0.783031	valid's auc: 0.736118	valid's online_auc: 0.731455
[793]	train's auc: 0.777174	train's online_auc: 0.783139	valid's auc: 0.736144	valid's online_auc: 0.731517
[794]	train's auc: 0.777199	train's online_auc: 0.783163	valid's auc: 0.736148	valid's online_auc: 0.731533
[795]	train's auc: 0.777244	train's online_auc: 0.783205	valid's auc: 0.736142	valid's online_auc: 0.731533
[796]	train's auc: 0.777254	train's online_auc: 0.783216	valid's auc: 0.736138	valid's online_auc: 0.731536
[797]	train's auc: 0.777267	train's online_auc: 0.783224	valid's auc: 0.736136	valid's online_auc: 0.731533
[798]	train's auc: 0.777301	train's online_auc: 0.783253	valid's auc: 0.73613	valid's online_auc: 0.731529
[799]	train's auc: 0.777357	train's online_auc: 0.783318	valid's auc: 0.736136	valid's online_auc: 0.731549
[800]	train's auc: 0.777397	train's online_auc: 0.783372	valid's auc: 0.736143	valid's online_auc: 0.731538
[801]	train's auc: 0.777448	train's online_auc: 0.783431	valid's auc: 0.73614	valid's online_auc: 0.731541
[802]	train's auc: 0.777472	train's online_auc: 0.783458	valid's auc: 0.736143	valid's online_auc: 0.73154
[803]	train's auc: 0.777509	train's online_auc: 0.783498	valid's auc: 0.736142	valid's online_auc: 0.731533
[804]	train's auc: 0.777567	train's online_auc: 0.783569	valid's auc: 0.736145	valid's online_auc: 0.731517
[805]	train's auc: 0.777598	train's online_auc: 0.783604	valid's auc: 0.736167	valid's online_auc: 0.731537
[806]	train's auc: 0.777636	train's online_auc: 0.78364	valid's auc: 0.736169	valid's online_auc: 0.731535
[807]	train's auc: 0.777673	train's online_auc: 0.783684	valid's auc: 0.736159	valid's online_auc: 0.731517
[808]	train's auc: 0.777692	train's online_auc: 0.783699	valid's auc: 0.736157	valid's online_auc: 0.731516
[809]	train's auc: 0.777706	train's online_auc: 0.783715	valid's auc: 0.736157	valid's online_auc: 0.731518
[810]	train's auc: 0.777769	train's online_auc: 0.783794	valid's auc: 0.736184	valid's online_auc: 0.731538
[811]	train's auc: 0.777822	train's online_auc: 0.783878	valid's auc: 0.736187	valid's online_auc: 0.731539
[812]	train's auc: 0.777829	train's online_auc: 0.783889	valid's auc: 0.736186	valid's online_auc: 0.731536
[813]	train's auc: 0.77785	train's online_auc: 0.783911	valid's auc: 0.736192	valid's online_auc: 0.73153
[814]	train's auc: 0.777866	train's online_auc: 0.783923	valid's auc: 0.736195	valid's online_auc: 0.731531
[815]	train's auc: 0.777903	train's online_auc: 0.783958	valid's auc: 0.7362	valid's online_auc: 0.731546
[816]	train's auc: 0.777929	train's online_auc: 0.783989	valid's auc: 0.736202	valid's online_auc: 0.731549
[817]	train's auc: 0.777945	train's online_auc: 0.784003	valid's auc: 0.736202	valid's online_auc: 0.731543
[818]	train's auc: 0.777977	train's online_auc: 0.784051	valid's auc: 0.736197	valid's online_auc: 0.731533
[819]	train's auc: 0.778093	train's online_auc: 0.784276	valid's auc: 0.736211	valid's online_auc: 0.731576
[820]	train's auc: 0.778111	train's online_auc: 0.784306	valid's auc: 0.736212	valid's online_auc: 0.731567
[821]	train's auc: 0.77814	train's online_auc: 0.784351	valid's auc: 0.736215	valid's online_auc: 0.731573
[822]	train's auc: 0.778162	train's online_auc: 0.784387	valid's auc: 0.736223	valid's online_auc: 0.731575
[823]	train's auc: 0.778183	train's online_auc: 0.784421	valid's auc: 0.736233	valid's online_auc: 0.731577
[824]	train's auc: 0.778218	train's online_auc: 0.784453	valid's auc: 0.736233	valid's online_auc: 0.731577
[825]	train's auc: 0.77827	train's online_auc: 0.784534	valid's auc: 0.736246	valid's online_auc: 0.731579
[826]	train's auc: 0.778285	train's online_auc: 0.784563	valid's auc: 0.736246	valid's online_auc: 0.731597
[827]	train's auc: 0.778308	train's online_auc: 0.784597	valid's auc: 0.736264	valid's online_auc: 0.731624
[828]	train's auc: 0.778346	train's online_auc: 0.784633	valid's auc: 0.736263	valid's online_auc: 0.731628
[829]	train's auc: 0.778364	train's online_auc: 0.784656	valid's auc: 0.736262	valid's online_auc: 0.731639
[830]	train's auc: 0.778387	train's online_auc: 0.784669	valid's auc: 0.73626	valid's online_auc: 0.731632
[831]	train's auc: 0.778424	train's online_auc: 0.784703	valid's auc: 0.736255	valid's online_auc: 0.731634
[832]	train's auc: 0.778463	train's online_auc: 0.784741	valid's auc: 0.736272	valid's online_auc: 0.731625
[833]	train's auc: 0.778505	train's online_auc: 0.784773	valid's auc: 0.736271	valid's online_auc: 0.73163
[834]	train's auc: 0.778536	train's online_auc: 0.784793	valid's auc: 0.736271	valid's online_auc: 0.731625
[835]	train's auc: 0.778562	train's online_auc: 0.784814	valid's auc: 0.736275	valid's online_auc: 0.731627
[836]	train's auc: 0.778599	train's online_auc: 0.78485	valid's auc: 0.736274	valid's online_auc: 0.731623
[837]	train's auc: 0.778621	train's online_auc: 0.784868	valid's auc: 0.73627	valid's online_auc: 0.731623
[838]	train's auc: 0.778638	train's online_auc: 0.784885	valid's auc: 0.736268	valid's online_auc: 0.731621
[839]	train's auc: 0.778666	train's online_auc: 0.784924	valid's auc: 0.736272	valid's online_auc: 0.731624
[840]	train's auc: 0.77868	train's online_auc: 0.784937	valid's auc: 0.736277	valid's online_auc: 0.73163
[841]	train's auc: 0.778712	train's online_auc: 0.784987	valid's auc: 0.73627	valid's online_auc: 0.73163
[842]	train's auc: 0.778777	train's online_auc: 0.785051	valid's auc: 0.736295	valid's online_auc: 0.731643
[843]	train's auc: 0.778817	train's online_auc: 0.785185	valid's auc: 0.736305	valid's online_auc: 0.731687
[844]	train's auc: 0.778837	train's online_auc: 0.785207	valid's auc: 0.73631	valid's online_auc: 0.731679
[845]	train's auc: 0.77887	train's online_auc: 0.785244	valid's auc: 0.736307	valid's online_auc: 0.731668
[846]	train's auc: 0.778883	train's online_auc: 0.785249	valid's auc: 0.7363	valid's online_auc: 0.731668
[847]	train's auc: 0.7789	train's online_auc: 0.785282	valid's auc: 0.736297	valid's online_auc: 0.731656
[848]	train's auc: 0.778929	train's online_auc: 0.785329	valid's auc: 0.736293	valid's online_auc: 0.731649
[849]	train's auc: 0.778952	train's online_auc: 0.785351	valid's auc: 0.736297	valid's online_auc: 0.73164
[850]	train's auc: 0.778971	train's online_auc: 0.785367	valid's auc: 0.736297	valid's online_auc: 0.731639
[851]	train's auc: 0.779173	train's online_auc: 0.785645	valid's auc: 0.736464	valid's online_auc: 0.73183
[852]	train's auc: 0.779201	train's online_auc: 0.78567	valid's auc: 0.736459	valid's online_auc: 0.731832
[853]	train's auc: 0.779228	train's online_auc: 0.78569	valid's auc: 0.736471	valid's online_auc: 0.731839
[854]	train's auc: 0.779249	train's online_auc: 0.78571	valid's auc: 0.736471	valid's online_auc: 0.731836
[855]	train's auc: 0.779282	train's online_auc: 0.785768	valid's auc: 0.736464	valid's online_auc: 0.73182
[856]	train's auc: 0.779299	train's online_auc: 0.785782	valid's auc: 0.736464	valid's online_auc: 0.731817
[857]	train's auc: 0.779346	train's online_auc: 0.785819	valid's auc: 0.736468	valid's online_auc: 0.731814
[858]	train's auc: 0.779371	train's online_auc: 0.785856	valid's auc: 0.736464	valid's online_auc: 0.731806
[859]	train's auc: 0.779382	train's online_auc: 0.785867	valid's auc: 0.736467	valid's online_auc: 0.731805
[860]	train's auc: 0.779397	train's online_auc: 0.78588	valid's auc: 0.736466	valid's online_auc: 0.7318
[861]	train's auc: 0.779435	train's online_auc: 0.785926	valid's auc: 0.736473	valid's online_auc: 0.731799
[862]	train's auc: 0.779461	train's online_auc: 0.785958	valid's auc: 0.736473	valid's online_auc: 0.731794
[863]	train's auc: 0.779493	train's online_auc: 0.785992	valid's auc: 0.736468	valid's online_auc: 0.731777
[864]	train's auc: 0.779529	train's online_auc: 0.786024	valid's auc: 0.736478	valid's online_auc: 0.731811
[865]	train's auc: 0.779577	train's online_auc: 0.786112	valid's auc: 0.736478	valid's online_auc: 0.731829
[866]	train's auc: 0.779591	train's online_auc: 0.786136	valid's auc: 0.736478	valid's online_auc: 0.731827
[867]	train's auc: 0.779634	train's online_auc: 0.786197	valid's auc: 0.736474	valid's online_auc: 0.731833
[868]	train's auc: 0.779653	train's online_auc: 0.786218	valid's auc: 0.736472	valid's online_auc: 0.731833
[869]	train's auc: 0.779695	train's online_auc: 0.786257	valid's auc: 0.7365	valid's online_auc: 0.731845
[870]	train's auc: 0.779757	train's online_auc: 0.786317	valid's auc: 0.736517	valid's online_auc: 0.731855
[871]	train's auc: 0.779785	train's online_auc: 0.786346	valid's auc: 0.736521	valid's online_auc: 0.731864
[872]	train's auc: 0.779841	train's online_auc: 0.786391	valid's auc: 0.736529	valid's online_auc: 0.731856
[873]	train's auc: 0.779858	train's online_auc: 0.786406	valid's auc: 0.736527	valid's online_auc: 0.731851
[874]	train's auc: 0.779873	train's online_auc: 0.786423	valid's auc: 0.736536	valid's online_auc: 0.731853
[875]	train's auc: 0.779894	train's online_auc: 0.786434	valid's auc: 0.736536	valid's online_auc: 0.731842
[876]	train's auc: 0.779913	train's online_auc: 0.786456	valid's auc: 0.73654	valid's online_auc: 0.731839
[877]	train's auc: 0.779955	train's online_auc: 0.786519	valid's auc: 0.736539	valid's online_auc: 0.731856
[878]	train's auc: 0.780002	train's online_auc: 0.786576	valid's auc: 0.736545	valid's online_auc: 0.731858
[879]	train's auc: 0.780031	train's online_auc: 0.786615	valid's auc: 0.736545	valid's online_auc: 0.731867
[880]	train's auc: 0.780049	train's online_auc: 0.786639	valid's auc: 0.736549	valid's online_auc: 0.731867
[881]	train's auc: 0.780129	train's online_auc: 0.786757	valid's auc: 0.736576	valid's online_auc: 0.73192
[882]	train's auc: 0.780152	train's online_auc: 0.786783	valid's auc: 0.736572	valid's online_auc: 0.731918
[883]	train's auc: 0.780183	train's online_auc: 0.786832	valid's auc: 0.736573	valid's online_auc: 0.731907
[884]	train's auc: 0.780212	train's online_auc: 0.786863	valid's auc: 0.736574	valid's online_auc: 0.731901
[885]	train's auc: 0.780266	train's online_auc: 0.786936	valid's auc: 0.736576	valid's online_auc: 0.731905
[886]	train's auc: 0.780354	train's online_auc: 0.78708	valid's auc: 0.736642	valid's online_auc: 0.732002
[887]	train's auc: 0.780403	train's online_auc: 0.787148	valid's auc: 0.736656	valid's online_auc: 0.732049
[888]	train's auc: 0.780425	train's online_auc: 0.787168	valid's auc: 0.736656	valid's online_auc: 0.732071
[889]	train's auc: 0.780452	train's online_auc: 0.78721	valid's auc: 0.736651	valid's online_auc: 0.732057
[890]	train's auc: 0.780478	train's online_auc: 0.78723	valid's auc: 0.736644	valid's online_auc: 0.732048
[891]	train's auc: 0.7805	train's online_auc: 0.787248	valid's auc: 0.736651	valid's online_auc: 0.732046
[892]	train's auc: 0.780528	train's online_auc: 0.787273	valid's auc: 0.736658	valid's online_auc: 0.732054
[893]	train's auc: 0.780555	train's online_auc: 0.787281	valid's auc: 0.736668	valid's online_auc: 0.732052
[894]	train's auc: 0.780591	train's online_auc: 0.78731	valid's auc: 0.736685	valid's online_auc: 0.732078
[895]	train's auc: 0.780623	train's online_auc: 0.787346	valid's auc: 0.736685	valid's online_auc: 0.732077
[896]	train's auc: 0.780672	train's online_auc: 0.787413	valid's auc: 0.736687	valid's online_auc: 0.732071
[897]	train's auc: 0.780711	train's online_auc: 0.787443	valid's auc: 0.736684	valid's online_auc: 0.732062
[898]	train's auc: 0.780996	train's online_auc: 0.78773	valid's auc: 0.736899	valid's online_auc: 0.732261
[899]	train's auc: 0.78105	train's online_auc: 0.787853	valid's auc: 0.736891	valid's online_auc: 0.732224
[900]	train's auc: 0.781085	train's online_auc: 0.787883	valid's auc: 0.736889	valid's online_auc: 0.732221
[901]	train's auc: 0.78112	train's online_auc: 0.787919	valid's auc: 0.736893	valid's online_auc: 0.732226
[902]	train's auc: 0.781158	train's online_auc: 0.787954	valid's auc: 0.736892	valid's online_auc: 0.732232
[903]	train's auc: 0.781204	train's online_auc: 0.787987	valid's auc: 0.736891	valid's online_auc: 0.732225
[904]	train's auc: 0.781224	train's online_auc: 0.788008	valid's auc: 0.73689	valid's online_auc: 0.732227
[905]	train's auc: 0.781232	train's online_auc: 0.788012	valid's auc: 0.736893	valid's online_auc: 0.732228
[906]	train's auc: 0.781243	train's online_auc: 0.788024	valid's auc: 0.7369	valid's online_auc: 0.732244
[907]	train's auc: 0.781256	train's online_auc: 0.788035	valid's auc: 0.736899	valid's online_auc: 0.732248
[908]	train's auc: 0.781289	train's online_auc: 0.788073	valid's auc: 0.736903	valid's online_auc: 0.732256
[909]	train's auc: 0.781312	train's online_auc: 0.788093	valid's auc: 0.736901	valid's online_auc: 0.732252
[910]	train's auc: 0.781361	train's online_auc: 0.788171	valid's auc: 0.736918	valid's online_auc: 0.732275
[911]	train's auc: 0.781394	train's online_auc: 0.7882	valid's auc: 0.736922	valid's online_auc: 0.732297
[912]	train's auc: 0.781429	train's online_auc: 0.788236	valid's auc: 0.736926	valid's online_auc: 0.732313
[913]	train's auc: 0.781457	train's online_auc: 0.788273	valid's auc: 0.736921	valid's online_auc: 0.732346
[914]	train's auc: 0.781492	train's online_auc: 0.788297	valid's auc: 0.736919	valid's online_auc: 0.732355
[915]	train's auc: 0.781536	train's online_auc: 0.788345	valid's auc: 0.736936	valid's online_auc: 0.732378
[916]	train's auc: 0.78156	train's online_auc: 0.788368	valid's auc: 0.736938	valid's online_auc: 0.732385
[917]	train's auc: 0.781594	train's online_auc: 0.788407	valid's auc: 0.736942	valid's online_auc: 0.732382
[918]	train's auc: 0.781629	train's online_auc: 0.788435	valid's auc: 0.736947	valid's online_auc: 0.732386
[919]	train's auc: 0.78164	train's online_auc: 0.788451	valid's auc: 0.736948	valid's online_auc: 0.732386
[920]	train's auc: 0.781682	train's online_auc: 0.788502	valid's auc: 0.736952	valid's online_auc: 0.732405
[921]	train's auc: 0.78171	train's online_auc: 0.788532	valid's auc: 0.73695	valid's online_auc: 0.7324
[922]	train's auc: 0.781774	train's online_auc: 0.788586	valid's auc: 0.736939	valid's online_auc: 0.732384
[923]	train's auc: 0.781797	train's online_auc: 0.788615	valid's auc: 0.736935	valid's online_auc: 0.732399
[924]	train's auc: 0.781809	train's online_auc: 0.788628	valid's auc: 0.736944	valid's online_auc: 0.732407
[925]	train's auc: 0.78183	train's online_auc: 0.788652	valid's auc: 0.736946	valid's online_auc: 0.732412
[926]	train's auc: 0.781865	train's online_auc: 0.788706	valid's auc: 0.736949	valid's online_auc: 0.732402
[927]	train's auc: 0.781904	train's online_auc: 0.78875	valid's auc: 0.736945	valid's online_auc: 0.732398
[928]	train's auc: 0.781934	train's online_auc: 0.788793	valid's auc: 0.73694	valid's online_auc: 0.73238
[929]	train's auc: 0.781979	train's online_auc: 0.788853	valid's auc: 0.736948	valid's online_auc: 0.732375
[930]	train's auc: 0.782014	train's online_auc: 0.788886	valid's auc: 0.736945	valid's online_auc: 0.732369
[931]	train's auc: 0.782055	train's online_auc: 0.78894	valid's auc: 0.736945	valid's online_auc: 0.732373
[932]	train's auc: 0.782071	train's online_auc: 0.788956	valid's auc: 0.736944	valid's online_auc: 0.732367
[933]	train's auc: 0.782105	train's online_auc: 0.788995	valid's auc: 0.736951	valid's online_auc: 0.732372
[934]	train's auc: 0.782131	train's online_auc: 0.78903	valid's auc: 0.736964	valid's online_auc: 0.73239
[935]	train's auc: 0.782159	train's online_auc: 0.78906	valid's auc: 0.73696	valid's online_auc: 0.73238
[936]	train's auc: 0.782174	train's online_auc: 0.789075	valid's auc: 0.73696	valid's online_auc: 0.732379
[937]	train's auc: 0.782216	train's online_auc: 0.789112	valid's auc: 0.736966	valid's online_auc: 0.732376
[938]	train's auc: 0.782254	train's online_auc: 0.789152	valid's auc: 0.736961	valid's online_auc: 0.732353
[939]	train's auc: 0.782274	train's online_auc: 0.789167	valid's auc: 0.736959	valid's online_auc: 0.732346
[940]	train's auc: 0.782299	train's online_auc: 0.789186	valid's auc: 0.736957	valid's online_auc: 0.732346
[941]	train's auc: 0.782332	train's online_auc: 0.789225	valid's auc: 0.736967	valid's online_auc: 0.732357
[942]	train's auc: 0.782361	train's online_auc: 0.789251	valid's auc: 0.736966	valid's online_auc: 0.732357
[943]	train's auc: 0.782389	train's online_auc: 0.789271	valid's auc: 0.736965	valid's online_auc: 0.732362
[944]	train's auc: 0.782407	train's online_auc: 0.789289	valid's auc: 0.736968	valid's online_auc: 0.73236
[945]	train's auc: 0.782436	train's online_auc: 0.789322	valid's auc: 0.736968	valid's online_auc: 0.732352
[946]	train's auc: 0.782455	train's online_auc: 0.789353	valid's auc: 0.736969	valid's online_auc: 0.732357
[947]	train's auc: 0.78247	train's online_auc: 0.78936	valid's auc: 0.736971	valid's online_auc: 0.732354
[948]	train's auc: 0.782497	train's online_auc: 0.789391	valid's auc: 0.73697	valid's online_auc: 0.732353
[949]	train's auc: 0.782513	train's online_auc: 0.789413	valid's auc: 0.736975	valid's online_auc: 0.732365
[950]	train's auc: 0.782522	train's online_auc: 0.789421	valid's auc: 0.736976	valid's online_auc: 0.732365
[951]	train's auc: 0.782577	train's online_auc: 0.789478	valid's auc: 0.736985	valid's online_auc: 0.732356
[952]	train's auc: 0.782591	train's online_auc: 0.789497	valid's auc: 0.736985	valid's online_auc: 0.732361
[953]	train's auc: 0.782613	train's online_auc: 0.789529	valid's auc: 0.736981	valid's online_auc: 0.732362
[954]	train's auc: 0.782633	train's online_auc: 0.789549	valid's auc: 0.736978	valid's online_auc: 0.732363
[955]	train's auc: 0.782655	train's online_auc: 0.789578	valid's auc: 0.736974	valid's online_auc: 0.73235
[956]	train's auc: 0.782682	train's online_auc: 0.7896	valid's auc: 0.736979	valid's online_auc: 0.732367
[957]	train's auc: 0.782717	train's online_auc: 0.789644	valid's auc: 0.736977	valid's online_auc: 0.732354
[958]	train's auc: 0.782739	train's online_auc: 0.789664	valid's auc: 0.736974	valid's online_auc: 0.732346
[959]	train's auc: 0.782754	train's online_auc: 0.78968	valid's auc: 0.736975	valid's online_auc: 0.732354
[960]	train's auc: 0.782804	train's online_auc: 0.789724	valid's auc: 0.736988	valid's online_auc: 0.73236
[961]	train's auc: 0.782829	train's online_auc: 0.789757	valid's auc: 0.73699	valid's online_auc: 0.732374
[962]	train's auc: 0.782846	train's online_auc: 0.789779	valid's auc: 0.736988	valid's online_auc: 0.732373
[963]	train's auc: 0.782871	train's online_auc: 0.789797	valid's auc: 0.736973	valid's online_auc: 0.732356
[964]	train's auc: 0.782913	train's online_auc: 0.789851	valid's auc: 0.736969	valid's online_auc: 0.732344
[965]	train's auc: 0.782924	train's online_auc: 0.789862	valid's auc: 0.736965	valid's online_auc: 0.732342
[966]	train's auc: 0.782976	train's online_auc: 0.789905	valid's auc: 0.736965	valid's online_auc: 0.732331
[967]	train's auc: 0.782994	train's online_auc: 0.789923	valid's auc: 0.736972	valid's online_auc: 0.732347
[968]	train's auc: 0.783006	train's online_auc: 0.789938	valid's auc: 0.736973	valid's online_auc: 0.732351
[969]	train's auc: 0.783026	train's online_auc: 0.78996	valid's auc: 0.736978	valid's online_auc: 0.732368
[970]	train's auc: 0.783039	train's online_auc: 0.78997	valid's auc: 0.736978	valid's online_auc: 0.732372
[971]	train's auc: 0.783054	train's online_auc: 0.789986	valid's auc: 0.736975	valid's online_auc: 0.732376
[972]	train's auc: 0.783088	train's online_auc: 0.790025	valid's auc: 0.736968	valid's online_auc: 0.73236
[973]	train's auc: 0.783111	train's online_auc: 0.790052	valid's auc: 0.736969	valid's online_auc: 0.732357
[974]	train's auc: 0.783151	train's online_auc: 0.790096	valid's auc: 0.736975	valid's online_auc: 0.732344
[975]	train's auc: 0.78319	train's online_auc: 0.790136	valid's auc: 0.736984	valid's online_auc: 0.732382
Early stopping, best iteration is:
[925]	train's auc: 0.78183	train's online_auc: 0.788652	valid's auc: 0.736946	valid's online_auc: 0.732412
